price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,2003,0,16,17
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,1973,2013,16,15
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,35,57
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,0,19,22
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,36,67
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0,35,53
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,0,19,21
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,35,63
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,10,73
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,19,21
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989,35,53
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,0,35,74
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998,35,48
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0,35,47
570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,1975,0,31,31
787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,1961,2004,3,3
328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,1,45
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,35,62
499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,38,38
501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,1963,2008,3,7
400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,2005,35,63
220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,14,13
657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011,35,47
309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,21,23
300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,11,11
740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,35,58
340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,19,22
398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,35,64
206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,0,6,69
379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,36,62
287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,35,57
309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,1994,0,32,33
600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,1945,0,35,54
418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,1930,0,35,47
449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,1928,1970,35,62
329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,1949,1985,35,62
245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,1984,0,1,0
549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,2008,0,32,37
800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,1994,0,33,43
249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,1958,1972,32,37
210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,1956,2001,10,73
585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,1949,1998,35,56
615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,1977,0,31,31
618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,1942,1982,35,54
487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,1977,2004,19,22
509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,2010,0,16,15
631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,2014,0,35,56
555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,2009,0,16,15
340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,2001,0,35,64
366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,2008,0,35,60
415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,16,17
416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,2005,0,35,54
478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,2007,0,32,34
419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,2014,0,16,17
712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,2013,1923,31,31
397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,1971,0,19,22
450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,1912,2005,35,56
353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,1947,1988,35,60
234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,1975,0,9,26
561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,1916,1986,35,63
469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,1924,2011,35,56
329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,1942,1999,35,56
488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,1938,0,35,56
606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,1987,2000,16,15
312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013,35,65
325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,1980,0,35,49
425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,1967,0,15,22
219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,1952,2008,35,49
250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,1954,2005,36,62
390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,1966,0,3,7
736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,1988,0,3,5
272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,1998,2006,7,10
362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,1963,0,6,66
535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,1991,0,19,22
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,18,26
367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,1961,2004,36,70
379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,1955,2009,17,16
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,32,35
460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,2004,2003,35,53
345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,2007,0,32,36
455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,1978,0,19,22
610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,1967,0,3,5
563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,1996,0,17,16
612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013,35,56
218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,1979,2014,14,13
404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,1958,2004,3,7
136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,1962,2003,14,13
313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001,35,54
280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,1971,0,27,27
515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,1989,0,33,42
513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,1996,0,17,16
685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,1999,0,33,42
365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,1950,2005,35,62
562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,1984,0,31,31
530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,1964,0,3,7
525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,1995,0,33,42
484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,1942,1999,35,48
725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,1998,2006,25,37
387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,1962,0,25,34
345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,1956,2001,35,54
533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,1926,2003,35,47
385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,1982,0,35,57
197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,1976,1992,1,0
485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,1905,2013,35,47
295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,1974,0,14,13
499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,1903,0,35,47
1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,2008,0,35,46
191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,1959,0,14,13
500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,2006,0,35,53
979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,2014,0,35,56
369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,2006,0,35,47
776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,2008,0,31,31
519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,2014,0,35,50
255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,1962,2003,6,65
495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,1943,2002,35,48
510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,2003,0,36,67
253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,1994,0,4,8
503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,1980,0,19,22
275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,1993,0,21,23
249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,1952,2008,6,68
310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,1974,0,32,36
750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,1946,1989,35,58
758000.0,4.0,2.75,2410,9549,1.0,0,0,4,1780,630,1956,0,19,21
248500.0,4.0,1.75,1720,10018,1.0,0,0,5,1720,0,1960,0,9,26
460000.0,3.0,2.0,1760,9055,2.0,0,0,4,1760,0,1985,0,31,31
675000.0,3.0,1.75,1680,10500,1.0,0,0,4,1680,0,1959,0,3,4
526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,1900,1971,35,47
415000.0,4.0,3.0,1830,9548,2.0,0,0,3,1830,0,1991,0,5,16
246000.0,3.0,1.0,1400,7410,1.0,0,0,3,1400,0,1944,0,6,68
314500.0,3.0,1.75,1870,12381,1.0,0,0,4,1870,0,1957,2001,14,2
420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,1904,0,35,64
350000.0,3.0,1.0,1010,9360,1.0,0,0,3,1010,0,1981,2013,19,21
749950.0,4.0,2.75,2600,6050,2.0,0,0,5,1960,640,1949,0,35,55
230000.0,3.0,2.5,1920,9180,2.0,0,0,3,1920,0,1988,2000,32,35
568000.0,3.0,2.0,2350,5080,1.5,0,0,3,1780,570,1929,0,35,57
581000.0,4.0,2.0,2510,13695,1.0,0,0,4,1280,1230,1961,2001,19,21
500000.0,2.0,1.0,1010,3885,1.5,0,0,4,1010,0,1906,1990,35,53
475000.0,2.0,1.0,820,2723,1.0,0,0,3,820,0,1921,2000,35,47
420000.0,3.0,2.25,1770,8165,2.0,0,0,3,1770,0,1977,2004,19,22
428000.0,2.0,2.0,1350,3900,1.0,0,0,3,1350,0,2003,0,31,32
599000.0,3.0,1.75,1960,4788,1.0,0,0,4,1090,870,1920,0,35,54
492000.0,4.0,2.5,3305,16164,1.5,0,0,5,2245,1060,1922,1956,36,62
630000.0,2.0,2.25,2550,5663,1.0,0,0,3,1720,830,2011,0,32,34
1110000.0,4.0,1.5,2310,13300,1.0,0,0,3,1890,420,1950,2005,8,3
575000.0,4.0,2.0,1650,5000,1.0,0,0,3,1650,0,1955,2005,35,56
705000.0,4.0,2.5,2650,4316,1.5,0,0,3,1520,1130,1905,2013,35,55
313000.0,3.0,1.75,2190,8000,1.0,0,0,4,2190,0,1967,0,14,13
618080.0,3.0,2.5,2030,6500,2.0,0,0,3,2030,0,1988,2000,16,15
640000.0,3.0,3.0,2270,5175,2.0,0,0,3,2130,140,2002,0,32,34
485000.0,3.0,2.0,1610,4160,1.0,0,0,4,1010,600,1917,0,35,63
300000.0,2.0,1.0,760,3001,1.0,0,0,3,760,0,1913,1983,35,64
379500.0,2.0,1.0,1640,17335,1.0,0,0,3,840,800,1978,0,31,32
339950.0,3.0,2.25,1630,12295,2.0,0,0,4,1630,0,1985,0,32,36
239900.0,3.0,2.0,1410,7566,1.0,0,0,3,1410,0,1985,0,18,18
314950.0,3.0,1.0,1040,16986,1.0,0,0,4,1040,0,1968,0,32,37
361280.0,2.0,1.0,820,6400,1.0,0,0,4,820,0,1944,0,35,61
480500.0,4.0,2.5,2180,11200,1.0,0,0,4,2180,0,1968,0,42,41
280000.0,3.0,2.5,1600,4271,2.0,0,0,3,1600,0,2000,0,1,0
440000.0,3.0,1.75,1500,6180,1.0,0,0,4,1060,440,1947,1988,35,57
530000.0,3.0,1.0,1340,4284,1.0,0,0,3,1080,260,1910,2006,35,48
560000.0,3.0,2.0,1860,13374,1.0,0,0,3,1860,0,1985,0,16,15
160000.0,2.0,1.0,1040,13100,1.0,0,0,5,1040,0,1912,0,18,20
209950.0,3.0,1.5,1380,11130,1.0,0,0,3,1380,0,1960,2012,14,2
226500.0,3.0,1.75,1640,10762,1.0,0,0,3,1130,510,1988,2000,9,26
409500.0,4.0,2.75,2140,13000,1.0,0,0,3,1320,820,1968,1997,17,16
690000.0,3.0,2.0,1760,6428,1.0,0,0,4,980,780,1942,1982,35,74
405000.0,3.0,2.25,1660,8307,1.0,0,0,4,1660,0,1961,2001,36,62
375000.0,3.0,2.5,1830,13042,2.0,0,0,3,1830,0,1990,2009,21,23
185000.0,4.0,1.0,1490,6600,1.0,0,0,3,1490,0,1969,2010,6,69
245000.0,3.0,1.5,1260,1270,2.0,0,0,3,1040,220,2005,0,35,62
425000.0,2.0,2.5,1150,1027,3.0,0,0,3,1150,0,2008,0,35,47
365000.0,5.0,2.75,2410,5003,1.0,0,0,3,1410,1000,2008,0,35,57
417250.0,3.0,2.25,1606,1452,3.0,0,0,3,1606,0,2009,0,35,60
339950.0,2.0,1.0,820,681,3.0,0,0,3,820,0,2006,0,35,47
615000.0,2.0,1.0,1540,6872,1.0,0,0,4,820,720,1946,1989,35,58
403000.0,3.0,2.75,2090,8354,2.0,0,0,3,2090,0,2012,1912,11,11
258000.0,4.0,1.75,1730,8320,1.0,0,0,3,1230,500,1977,2004,14,13
533000.0,3.0,1.0,1670,4080,1.0,0,0,3,1170,500,1967,2011,35,54
537500.0,4.0,2.5,2550,4630,2.0,0,0,3,2550,0,2005,0,33,43
830000.0,5.0,3.0,3040,9601,1.0,0,0,5,1970,1070,1968,0,23,25
712000.0,3.0,1.0,1250,4620,1.5,0,0,4,1150,100,1900,1971,35,47
262000.0,4.0,2.5,2020,6236,2.0,0,0,3,2020,0,2002,0,0,0
134000.0,2.0,1.5,980,5000,2.0,0,0,3,980,0,1922,2003,37,75
402000.0,3.0,2.5,1960,8000,1.0,0,0,4,1290,670,1977,0,19,22
205000.0,2.0,1.0,720,5040,1.0,0,0,3,720,0,1955,2005,35,49
553650.0,2.0,2.5,1360,1349,2.0,0,0,3,1050,310,1997,0,35,53
559950.0,2.0,2.0,1870,4950,1.0,0,0,3,1870,0,2006,0,31,32
260000.0,4.0,1.5,2130,8800,1.0,0,0,3,1100,1030,1962,2003,18,20
270000.0,4.0,2.5,1810,6509,2.0,0,0,3,1810,0,1994,0,18,26
266000.0,3.0,2.5,1940,8547,1.0,0,0,3,1460,480,1989,0,18,18
325900.0,4.0,2.5,2320,6270,2.0,0,0,3,2320,0,2004,2003,18,26
1039000.0,4.0,1.0,3410,5000,2.0,0,0,5,2190,1220,1910,0,35,64
246000.0,3.0,1.75,1390,7399,1.0,0,0,4,1390,0,1975,0,18,19
515000.0,2.0,1.0,1060,4960,1.0,0,0,3,1060,0,1926,2003,35,47
207000.0,3.0,1.0,1490,8995,1.0,0,0,4,1490,0,1954,1979,35,69
780000.0,4.0,1.75,2480,9195,1.0,0,0,3,1390,1090,1950,2005,3,3
295000.0,3.0,2.5,1920,7229,2.0,0,0,3,1920,0,1993,0,14,2
385000.0,3.0,1.75,1890,9920,1.0,0,0,3,1230,660,1944,0,35,60
350000.0,4.0,1.75,2250,13515,1.0,0,0,4,2150,100,1940,2001,18,18
235000.0,2.0,1.0,1270,3008,1.0,0,0,4,650,620,1923,0,35,57
358000.0,2.0,1.5,960,1808,2.0,0,0,3,960,0,1993,0,35,59
716500.0,4.0,2.5,3290,6465,2.0,0,0,3,3290,0,2002,0,33,43
228000.0,4.0,1.75,2000,6120,1.0,0,0,3,1100,900,1965,1993,35,71
405000.0,2.0,1.0,1020,8155,1.0,0,0,4,1020,0,1948,0,35,70
538000.0,4.0,1.75,1840,9600,1.0,0,0,3,1220,620,1967,2011,31,31
530000.0,3.0,1.75,1980,6760,1.0,0,0,4,1980,0,1973,0,3,7
636000.0,2.0,1.75,1230,3600,1.5,0,0,5,1230,0,1925,0,35,58
868500.0,3.0,2.5,2920,3942,3.0,0,0,3,2920,0,2008,0,32,34
530000.0,4.0,2.75,2280,2850,1.5,0,0,4,1540,740,1930,0,35,54
230000.0,3.0,1.75,950,6000,1.0,0,0,3,790,160,1939,1969,35,51
229000.0,3.0,2.5,1190,3000,2.0,0,0,3,1190,0,2002,0,40,71
437000.0,3.0,1.75,1310,9282,1.0,0,0,4,1310,0,1976,1992,31,31
595000.0,3.0,2.5,1750,3354,2.0,0,0,4,1750,0,1991,0,19,21
660000.0,3.0,1.75,1320,5750,1.5,0,0,5,1320,0,1918,0,35,55
347500.0,4.0,2.5,2460,7350,2.0,0,0,3,2460,0,1989,0,14,13
297950.0,3.0,2.0,1240,10800,1.0,0,0,3,1240,0,1967,2010,32,36
245000.0,3.0,1.5,1260,7964,1.0,0,0,4,1260,0,1955,2009,10,66
413450.0,3.0,2.5,1540,1614,3.0,0,0,3,1470,70,2008,0,35,47
424500.0,3.0,1.75,1460,7700,1.0,0,0,3,1460,0,1979,2014,31,31
230000.0,3.0,1.0,1390,16000,1.0,0,0,4,1390,0,1960,2001,0,0
930000.0,3.0,3.25,2640,4080,2.0,0,0,3,1840,800,1912,2000,35,48
349000.0,3.0,1.75,1590,9620,1.0,0,0,3,1590,0,1988,2000,32,37
835000.0,4.0,2.0,1910,6960,1.5,0,0,5,1910,0,1941,0,35,47
500000.0,3.0,1.75,1410,1197,3.0,0,0,3,1410,0,2012,1912,35,47
499000.0,2.0,1.5,1110,957,2.0,0,0,3,930,180,2005,0,35,58
321950.0,2.0,1.25,860,1277,2.0,0,0,3,860,0,2007,0,35,64
494000.0,3.0,2.5,2310,4729,2.0,0,0,3,2310,0,2011,0,17,16
441750.0,2.0,1.5,1020,1060,3.0,0,0,3,1020,0,2008,0,35,47
438000.0,2.0,1.0,980,1179,2.0,0,0,3,980,0,2010,0,35,58
352000.0,3.0,2.25,1640,11050,1.0,0,0,4,1640,0,1972,0,32,37
765000.0,4.0,2.75,2790,10819,2.0,0,0,3,2790,0,1996,0,16,15
460000.0,4.0,1.75,1750,5500,1.5,0,0,5,1050,700,1926,0,35,56
224500.0,4.0,1.0,1430,8355,1.5,0,0,4,1430,0,1983,0,1,45
254000.0,3.0,2.5,1850,4597,2.0,0,0,3,1850,0,2003,0,9,26
402500.0,4.0,2.5,2600,11951,2.0,0,0,3,2600,0,1988,2000,14,13
604000.0,4.0,2.5,2260,7753,2.0,0,0,3,2260,0,1989,0,16,17
565000.0,4.0,2.25,2470,7447,2.0,0,0,3,2470,0,1984,0,20,67
445000.0,4.0,2.0,1650,6000,1.0,0,0,5,1000,650,1959,0,35,64
195000.0,2.0,1.0,720,18000,1.0,0,0,3,720,0,1950,2005,35,71
387000.0,3.0,2.25,1445,1606,2.0,0,0,3,1300,145,2003,0,16,15
490000.0,2.0,1.0,1840,3300,1.5,0,0,4,1130,710,1910,0,35,50
303500.0,3.0,1.5,1060,10464,1.0,0,0,4,1060,0,1973,0,19,22
270000.0,3.0,1.5,1500,6337,1.0,0,0,5,1500,0,1953,0,35,60
323000.0,4.0,2.75,1970,7213,1.0,0,0,3,1170,800,1977,2004,32,36
382000.0,3.0,3.25,1410,1253,3.0,0,0,3,1410,0,2005,0,35,47
280000.0,4.0,2.0,2190,14439,1.0,0,0,4,1180,1010,1977,0,1,0
260000.0,3.0,2.0,1920,8075,1.0,0,0,4,1510,410,1969,0,14,13
201500.0,3.0,1.0,1160,8320,1.0,0,0,4,1160,0,1959,0,18,20
536500.0,4.0,1.75,2000,4000,1.5,0,0,5,1450,550,1926,0,35,61
248000.0,4.0,3.0,2163,5883,2.0,0,0,3,2163,0,2006,0,0,0
580000.0,4.0,2.5,2840,6268,2.0,0,0,3,2840,0,1998,2006,17,16
463000.0,2.0,1.0,1150,4400,1.0,0,0,4,1150,0,1905,0,35,53
742500.0,4.0,2.75,3100,3773,2.0,0,0,3,2000,1100,1919,1996,35,59
260000.0,3.0,2.5,1420,14850,1.0,0,0,4,1020,400,1963,0,18,20
312000.0,4.0,2.25,1930,7452,1.0,0,0,3,1430,500,1984,0,18,19
566000.0,3.0,2.25,1660,10140,1.0,0,0,4,1370,290,1980,0,31,31
511555.0,3.0,2.0,1400,7293,1.0,0,0,4,1400,0,1963,0,3,7
583000.0,4.0,2.5,2660,4000,2.0,0,0,3,2660,0,2001,0,31,32
290000.0,4.0,2.5,2000,13300,1.0,0,0,4,1200,800,1968,0,1,0
311100.0,4.0,2.25,2130,8078,1.0,0,0,4,1380,750,1977,0,32,33
325000.0,3.0,2.25,1352,1694,3.0,0,0,3,1352,0,2007,0,35,60
315000.0,5.0,1.75,2320,8100,1.0,0,0,4,1160,1160,1956,0,6,68
330000.0,4.0,2.5,1940,3784,2.0,0,0,3,1940,0,2003,0,32,36
481450.0,3.0,2.0,1410,4800,1.0,0,0,3,1410,0,1940,1996,35,56
